9043|1
9236|1
746|1
7343|1
7608|2
3317|2
8516|2
1737|2
7569|3
3302|3
7201|3
4707|3
2481|4
2053|4
165|4
7349|4
8091|5
1104|5
6044|5
6418|5
8080|6
8870|6
848|6
9692|6
2188|7
4433|7
1082|7
9134|7
7321|8
9431|8
4706|8
63|8
5958|9
1399|9
163|9
5691|9
8387|10
1191|10
4202|10
6480|10
8377|11
3660|11
236|11
2708|11
999|12
6087|12
976|12
4844|12
9334|13
7318|13
7525|13
9246|13
98|14
4693|14
1792|14
1570|14
5847|15
3027|15
6930|15
6222|15
4340|16
1310|16
2260|16
5256|16
2585|17
3540|17
7316|17
1581|17
8064|18
4977|18
1003|18
791|18
5810|19
4273|19
6026|19
272|19
9773|20
265|20
8816|20
3939|20
