1223|1
1428|1
8330|1
8700|1
4057|2
9045|2
3137|2
8245|2
5327|3
4186|3
8253|3
6016|3
1732|4
2805|4
4796|4
5211|4
7980|5
6814|5
3414|5
1644|5
8094|6
164|6
9791|6
6304|6
1615|7
3596|7
4962|7
7668|7
6834|8
3035|8
6877|8
4985|8
6639|9
5977|9
5707|9
9079|9
7676|10
7504|10
5459|10
5344|10
9721|11
8188|11
2071|11
9919|11
4791|12
2010|12
5659|12
9016|12
1893|13
556|13
7854|13
6109|13
637|14
6536|14
5628|14
954|14
1106|15
8974|15
3340|15
813|15
9897|16
3559|16
4291|16
5920|16
2568|17
9642|17
5498|17
5834|17
7309|18
269|18
3125|18
4887|18
9449|19
2890|19
7237|19
535|19
4561|20
2648|20
9010|20
3669|20
